Date,Year,Quarter,Revenue ($M),OpEx ($M),Net_Income ($M),Churn_Rate (%),Active_Users
2021-01-01,2021,Q1,11.82,7.78,4.05,2.87,10100
2021-02-01,2021,Q1,11.69,7.6,4.08,2.81,10200
2021-03-01,2021,Q1,11.45,7.11,4.34,2.32,10300
2021-04-01,2021,Q2,13.89,8.86,5.03,2.75,10400
2021-05-01,2021,Q2,15.21,11.94,3.28,2.97,10500
2021-06-01,2021,Q2,13.8,10.69,3.12,2.23,10600
2021-07-01,2021,Q3,11.64,7.1,4.54,2.18,10700
2021-08-01,2021,Q3,12.69,9.4,3.29,2.72,10800
2021-09-01,2021,Q3,12.65,8.36,4.29,2.81,10900
2021-10-01,2021,Q4,14.47,10.48,3.99,2.95,11000
2021-11-01,2021,Q4,12.51,8.81,3.7,2.57,11100
2021-12-01,2021,Q4,13.83,10.92,2.91,2.44,11200
2022-01-01,2022,Q1,13.85,8.46,5.38,2.83,15100
2022-02-01,2022,Q1,13.51,9.21,4.3,2.53,15200
2022-03-01,2022,Q1,12.17,9.62,2.55,2.36,15300
2022-04-01,2022,Q2,14.11,10.4,3.72,2.36,15400
2022-05-01,2022,Q2,13.02,8.03,4.99,2.73,15500
2022-06-01,2022,Q2,12.37,9.66,2.71,2.99,15600
2022-07-01,2022,Q3,14.42,9.45,4.97,2.32,15700
2022-08-01,2022,Q3,11.96,9.05,2.91,2.01,15800
2022-09-01,2022,Q3,12.61,9.17,3.44,2.74,15900
2022-10-01,2022,Q4,12.38,8.6,3.78,2.44,16000
2022-11-01,2022,Q4,16.31,12.32,3.98,2.38,16100
2022-12-01,2022,Q4,13.98,9.52,4.47,2.0,16200
2023-01-01,2023,Q1,22.49,13.71,8.77,1.53,26000
2023-02-01,2023,Q1,30.82,19.78,11.04,2.49,27000
2023-03-01,2023,Q1,25.46,20.23,5.23,1.84,28000
2023-04-01,2023,Q2,25.88,16.16,9.72,1.95,29000
2023-05-01,2023,Q2,23.92,14.86,9.06,2.21,30000
2023-06-01,2023,Q2,30.0,19.39,10.61,1.94,31000
2023-07-01,2023,Q3,28.32,21.28,7.04,1.75,32000
2023-08-01,2023,Q3,26.77,17.72,9.06,1.87,33000
2023-09-01,2023,Q3,32.31,21.75,10.56,2.45,34000
2023-10-01,2023,Q4,33.53,23.28,10.25,2.03,35000
2023-11-01,2023,Q4,33.67,22.57,11.09,1.51,36000
2023-12-01,2023,Q4,34.96,26.95,8.01,2.34,37000
2024-01-01,2024,Q1,31.8,20.61,11.19,3.44,37500
2024-02-01,2024,Q1,31.02,24.05,6.97,2.7,38000
2024-03-01,2024,Q1,34.6,25.94,8.66,3.62,38500
2024-04-01,2024,Q2,31.83,21.47,10.36,2.25,39000
2024-05-01,2024,Q2,34.02,23.37,10.65,2.78,39500
2024-06-01,2024,Q2,34.58,26.33,8.25,2.21,40000
2024-07-01,2024,Q3,15.48,10.15,5.33,8.26,38000
2024-08-01,2024,Q3,16.55,12.61,3.94,9.36,36000
2024-09-01,2024,Q3,15.54,11.56,3.97,9.11,34000
2024-10-01,2024,Q4,32.76,24.46,8.29,3.3,34500
2024-11-01,2024,Q4,32.93,21.9,11.02,2.79,35000
2024-12-01,2024,Q4,31.98,19.37,12.6,2.3,35500
2025-01-01,2025,Q1,39.45,25.96,13.48,1.18,37000
2025-02-01,2025,Q1,42.52,30.08,12.44,1.42,38500
2025-03-01,2025,Q1,41.6,31.48,10.12,1.01,40000
2025-04-01,2025,Q2,40.25,28.42,11.83,1.85,41500
2025-05-01,2025,Q2,41.94,31.24,10.7,1.06,43000
2025-06-01,2025,Q2,41.75,33.35,8.4,1.85,44500
2025-07-01,2025,Q3,40.96,28.97,11.99,1.96,46000
2025-08-01,2025,Q3,39.69,26.15,13.54,1.8,47500
2025-09-01,2025,Q3,40.69,27.17,13.52,1.44,49000
2025-10-01,2025,Q4,35.4,24.37,11.03,1.43,50500
2025-11-01,2025,Q4,40.92,25.87,15.05,1.32,52000
2025-12-01,2025,Q4,43.98,29.59,14.39,1.7,53500
